Dependency,Current Version,Latest Version,License,License URL
Microsoft.EntityFrameworkCore.Design,7.0.5,8.0.8,"MIT","https://licenses.nuget.org/MIT"
Microsoft.EntityFrameworkCore.Tools,7.0.5,8.0.8,"MIT","https://licenses.nuget.org/MIT"
